running_order,title,bpm
1,Miss Americana & the Heartbreak Prince',150
2,'Cruel Summer',169
3,'The Man',110
4,'You Need to Calm Down',86
5,'Lover',69
6,'The Archer',124
7,'Fearless',99
8,'You Belong With Me',130
9,'Love Story',117
10,no body no crime',79
11,'willow',81
12,'marjorie',96
13,'champagne problems',171
14,'tolerate it',75
15,'…Ready for It?',160
16,'Delicate',95
17,'Don’t Blame Me',135
18,'Look What You Made Me Do',129
19,Enchanted',81
20,Long Live',102
21,'22',103
22,'We Are Never Ever Getting Back Together',86
23,'I Knew You Were Trouble',152
24,'All Too Well (10 Minute Version)',92
25, 'the 1',144
26,'betty',95
27,'the last great american dynasty',152
28,'august',89
29,'illicit affairs',117
30,'my tears ricochet',129
31,'cardigan',130
32,'Style',96
33,'Blank Space',96
34,'Shake It Off',160
35,'Wildest Dreams',72
36,'Bad Blood',86
37,Surprise song on guitar,
38,Surprise song on piano,
39,'Lavender Haze',97
40,'Anti-Hero',97
41,'Midnight Rain',140
42,'Vigilante Shit',80
43,'Bejeweled',164
44,'Mastermind',126
45,'Karma',90
